"Index", "Question", "Answer-0", "Answer-1"
1, 'Domanda N 1', 'Risposta Si', 'Risposta No'
10, 'Domanda N 10', 'Risposta Si', 'Risposta No'
100, 'Domanda N 100', 'Risposta Si', 'Risposta No'
1000, 'Domanda N 1000', 'Risposta Si', 'Risposta No'
10000, 'Domanda N 10000', 'Risposta Si', 'Risposta No'
10001, 'Domanda N 10001', 'Risposta Si', 'Risposta No'
1001, 'Domanda N 1001', 'Risposta Si', 'Risposta No'
101, 'Domanda N 101', 'Risposta Si', 'Risposta No'
1010, 'Domanda N 1010', 'Risposta Si', 'Risposta No'
1011, 'Domanda N 1011', 'Risposta Si', 'Risposta No'
10110, 'Domanda N 10110', 'Risposta Si', 'Risposta No'
10111, 'Domanda N 10111', 'Risposta Si', 'Risposta No'
11, 'Domanda N 11', 'Risposta Si', 'Risposta No'
110, 'Domanda N 110', 'Risposta Si', 'Risposta No'
1100, 'Domanda N 1100', 'Risposta Si', 'Risposta No'
11000, 'Domanda N 11000', 'Risposta Si', 'Risposta No'
11001, 'Domanda N 11001', 'Risposta Si', 'Risposta No'
1101, 'Domanda N 1101', 'Risposta Si', 'Risposta No'
111, 'Domanda N 111', 'Risposta Si', 'Risposta No'
1110, 'Domanda N 1110', 'Risposta Si', 'Risposta No'
1111, 'Domanda N 1111', 'Risposta Si', 'Risposta No'
11110, 'Domanda N 11110', 'Risposta Si', 'Risposta No'
11111, 'Domanda N 11111', 'Risposta Si', 'Risposta No'
